url,name,designation,college,department,research_area,research_area_details,experience,institution_name,,,,,,,,,,
https://bits-pilani.irins.org/profile/230648,Dr A  Rekha,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230645,Prof Sudeep Kumar  Pradhan,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/468815,Dr Rajiv Ranjan Gupta,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Mechanical Engineering,Mechanical engineering,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230786,Dr Glynn  John,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230617,Prof Ravi Shrikrishna  Reosekar,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/474468,Prof Shet K  Sathisha,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Electrical and Electronic Engineering,EEE,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230771,Dr Samata Satish  Mujumdar,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/229221,Prof Niranjan Swain,Senior Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Economics,"Business Analysis & Valuation, Financial Markets Integration and Financial Inclusion","[""Senior Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/473671,Dr Madhuri  Bayya,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Electrical and Electronic Engineering,EEE,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/228255,Mr Mahesh Kumar Hamirwasia,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Civil Engineering,Structural Engineering,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/578276,Prof A Michael  Alphonse,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Information Systems,Computer science,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/473667,Dr Gondu Vykunta  Rao,Visiting Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Electrical and Electronic Engineering,EEE,"[""Visiting Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230696,Mrs Akanksha  Bharadwaj,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230622,Dr Rajesh Kumar  Tiwary,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/613199,Dr Konjeti  Lakshmi Prasanna,Visiting Faculty,"Birla Institute of Technology and Science, Pilani",Department of WILP,Multidisciplinary Engineering,"Research focuses on Autonomous Vehicles—intelligent control, perception, and decision-making—and Power Transformer Winding Diagnostics using frequency response analysis, non-invasive parameter estimation, and fault detection, with emphasis on data-driven modeling and system identification.","[""Visiting Faculty | Department of WILP | Birla Institute of Technology and Science, Pilani"", ""Assistant Professor | Department of Electrical and Electronics Engineering | St. Martins Engineering College"", ""Assistant Professor | Electrical and Electronics Engineering | Rami Reddy Subbarami Reddy Engineering College, Kavali"", ""Assistant Professor | Electrical and Electronics Engineering | Rami Reddy Subbarami Reddy Engineering College, Kavali""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230804,Dr Jyotsana  Grover,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/227784,Prof Samir Ramdas Kale,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Chemical Engineering,"Process Safety: Avoiding unsafe acts and unsafe conditions in workplace
Process Simulations: MATLAB : Enabling technical computation through effective use of MATLAB
Environment Engineering : Air Pollution control strategies: Reduce carbon footprint from the environment
Lean Concepts in Process Industry: Lean concepts improve productivity and process perspective in workplace
Teaching Learning research (Innovative pedagogy, Technology for TL, Problem solving concepts): How to inculcate learning as","[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani"", ""Assistant Professor | Department of Chemical Engineering | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230687,Dr Mohammad Saleem  Bagewadi,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230685,Prof R K Chandra Shekar,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/578298,Mr Mahesh  Aganti,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Multidisciplinary Engineering,Engineering,"[""Visiting Faculty | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/642338,Prof Raghavendra  Singh,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Information Systems,Computer Science,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230678,Prof P.B Venkataraman,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/228447,Dr Radhakrishnan Bharathi,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Pharmacology and Pharmacy,"Bionanotechnology, Nano-fertilizers, Plant-microbe interactions, Microbial and Mycorrhizal Biotechnology, AMF Root Organ Culture, Microbial decomposition, Bioremediation, Biomineralization, Soil biological health indicators, Microbial molecular biology.","[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230795,Prof Chetana Anoop  Gavankar,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/653330,Prof Smitha Sarma  Ranganathan,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Management,Management,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/548376,Ms Neha Vinayak,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Artificial Intelligence,"Machine Learning, Artificial Intelligence, Artificial Neural Networks, AI applications in Lymphedema, Quantum Neural Networks, Quantum Computing,","[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/642337,Prof Perumal  Jayakumar,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Management,Management,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230691,Dr Ashish  Narang,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/227822,Mr Santosh Khangave Sopanrao,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Chemical Engineering,"The chemical engineering process modeling, simulation and optimization.
Extractive metallurgy
Transport phenomenon
Energy and environmental engineering
Bio chemical engineering","[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230796,Prof Ambatipudi  Vamsidhar,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230818,Prof Srinath R. Naidu,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230619,Prof Pawan  Sharma,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/613174,Dr Neeraj Kumar  Jha,Visiting Faculty,"Birla Institute of Technology and Science, Pilani",Department of WILP,Multidisciplinary Engineering,Engineering,"[""Visiting Faculty | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/474523,Prof Shreyas Suresh  Rao,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Information Systems,Computer science,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230605,Prof Y V K Ravi Kumar,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/509136,Prof Sameer  Gupta,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Multidisciplinary Engineering,Engineering,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/642325,Dr Gururaja Sethurao,Visiting Faculty,"Birla Institute of Technology and Science, Pilani",Department of WILP,Mechanical Engineering,Mechanical,"[""Visiting Faculty | Department of WILP | Birla Institute of Technology and Science, Pilani"", ""Assistant Professor | Department of Mechanical Engineering | Vidyavardhaka College of Engineering""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/228631,Prof Gopalakrishnan Venkiteswaran,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Mathematics,Numerical Solution of PDEs,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230770,Prof Lucy J.  Gudino,Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230819,Prof Sanjay  Vidhyadharan,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Electrical and Electronic Engineering,VLSI Design,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani"", ""Engineer | Engineering | Indian Air Force""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230694,Dr Vineet Kumar Garg,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/642335,Dr Garima  Jindal,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Information Systems,Computer science,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230807,Dr M Shree Prasad,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230641,Dr Vijayalakshmi  Anand,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230808,Prof Nishit  Narang,Associate Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,Computer Science Software Engineering,"Communications, Networking and Security Systems","[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani"", ""Technology Director | Capgemini India PVT Limited""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230634,Dr Swapna S  Kulkarni,Assistant Professor,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Assistant Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/230673,Prof Anjani Srikanth  Koka,,"Birla Institute of Technology and Science, Pilani",Department of WILP,,,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/642328,Prof Atul  Kumar,,"Birla Institute of Technology and Science, Pilani",Department of WILP,Management,Management,"[""Associate Professor | Department of WILP | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/50684,Dr Ranjan Sinha Thakur,Chief Librarian,"Birla Institute of Technology and Science, Pilani",Library,Library and Information Science,Quality Management System in Library,Knowledge Management,  IT Applications in Library,,Library automation,"[""Chief Librarian | Library | Birla Institute of Technology and Science, Pilani"", ""Chief Librarian | Library | University of Petroleum and Energy Studies"", ""Deputy Librarian | Library | M. N. Dastur & Co (Pvt.) Limited, Kolkata""]",Birla Institute of Technology and Science Pilani,,,,,,
https://bits-pilani.irins.org/profile/652634,Mr Narendra Kumar Bhoi,Assistant Librarian,"Birla Institute of Technology and Science, Pilani",Library,Library and Information Science,"Research Data Management, Data Governance, Data Management Plan, Research Support Services, Research Ethics, Information and Communications Technology, Research Tools and Techniques, Academic Librarianship.","[""Assistant Librarian | Library | Birla Institute of Technology and Science, Pilani"", ""Assistant Librarian | Department of Library and Documentation Centre | National Institute of Advanced Manufacturing Technology (NIAMT)"", ""Library Assistant | Central Library | Indian Institute of Science Education and Research, Berhampur"", ""Senior Research Fellow | Documentation Research and Training Centre | Indian Statistical Institute"", ""Junior Research Fellow | Documentation Research and Training Centre | Indian Statistical Institute"", ""Professional Assistant | Central Library | Veer Surendra Sai University of Technology"", ""Library Trainee | Vikram Sarabhai Library | Indian Institute of Management, Ahmedabad""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/96766,Mr Anupratim Ghosh,Deputy Librarian,"Birla Institute of Technology and Science, Pilani",Library,Library and Information Science,"Digital Library, Library Automation, Ontology, Semantic Web, Link Open Data","[""Deputy Librarian | Library | Birla Institute of Technology and Science, Pilani"", ""Deputy Librarian | Library | University of Petroleum and Energy Studies"", ""Assistant Librarian | Library | University of Petroleum and Energy Studies"", ""Library Assistant | Library | JIS College of Engineering""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://bits-pilani.irins.org/profile/229118,Prof Rajagopalan Parameshwaran,Associate Dean,"Birla Institute of Technology and Science, Pilani",Practice School Division,Mechanical Engineering,"Thermal Energy Storage Technologies;

Nanomaterials and Nanoscale Heat Transport","[""Associate Dean | Practice School Division | Birla Institute of Technology and Science, Pilani"", ""Associate Professor | Department of Mechanical Engineering | Birla Institute of Technology and Science, Pilani"", ""Assistant Professor (Grade-I) | Department of Mechanical Engineering | Birla Institute of Technology and Science, Pilani""]",Birla Institute of Technology and Science Pilani,,,,,,,,,,
https://iimcal.irins.org/profile/102355,Dr Narayan Chandra Ghosh,Librarian,"Indian Institute of Management, Calcutta",B.C. Roy Memorial Library,Library and Information Science,Library and Information Science,"[""Librarian | B.C. Roy Memorial Library | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/660452,Dr Arunima Chakraborty,Assistant Professor (Grade-II),"Indian Institute of Management, Calcutta",Business Ethics and Communication,Ethics,"Philosophy of Science (Scientific Methods, Reasoning, Objectivity, Causation, Epistemological Foundations of Management Studies), Philosophy and Ethics of Artificial Intelligence (AI Mind, Strong AI vs. Weak AI discourses, Symbolic AI, Normative constructions of AI, AI ethical governance, epistemological challenges of Big Data), Ethics (Virtue Ethics, Kantian Deontology), Business Ethics, Business Ethics Pedagogy","[""Assistant Professor (Grade-II) | Business Ethics and Communication | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/387878,Dr Nandita Roy,Assistant Professor,"Indian Institute of Management, Calcutta",Business Ethics and Communication,"Business, Finance",Managerial Communication,"[""Assistant Professor | Business Ethics and Communication | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55972,Dr Apoorva Bharadwaj,Professor,"Indian Institute of Management, Calcutta",Business Ethics and Communication,Communication,"Corporate Communications, Intercultural Business Communication, Communication for Public Relations, Management Training through Literature, Ethical Communication, Communication for Excellence in Organizational Leadership, Change Management through Communication, Negotiation Skills, Marketing Communications","[""Professor | Business Ethics and Communication | Indian Institute of Management, Calcutta"", ""Associate Professor | Business Ethics and Communication | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55976,Dr Pragyan Rath,Associate Professor,Indian Institute of Management Calcutta,Business Ethics and Communication,Communication,"Semiotics - Philosophical and Analytical Study of Visual and Verbal Art Forms, Relation between Visual and Verbal Media, Interdisciplinary Perspective of Visual and Verbal Art Forms, EKPHRASISâ€: Study of Verbal Representation of Graphic Representations","[""Associate Professor | Business Ethics and Communication | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55984,Dr Manisha Chakrabarty,Professor,Indian Institute of Management Calcutta,Economics,Economics,"Applied Econometrics, Development Economics, Applied Finance","[""Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102360,Dr Tanika Chakraborty,Professor,"Indian Institute of Management, Calcutta",Economics,Economics,"Labor Economics, Development Economics, Economics of Education, Entrepreneurship","[""Professor | Economics | Indian Institute of Management, Calcutta"", ""Associate Professor | Economics | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/388333,Dr Ankit Kumar,Assistant Professor (Grade-II),"Indian Institute of Management, Calcutta",Economics,Economics,Economics,"[""Assistant Professor (Grade-II) | Economics | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55981,Dr Arijit Sen,Professor,Indian Institute of Management Calcutta,Economics,Economics,"Decision Theory and Game Theory: Applications in Industrial Organization, Development Economics and Social Economics","[""Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/387893,Dr Madhuparna Karmokar,Assistant Professor (Grade-II),"Indian Institute of Management, Calcutta",Economics,Economics,Economics,"[""Assistant Professor (Grade-II) | Economics | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55985,Dr Mritiunjoy Mohanty,Professor,Indian Institute of Management Calcutta,Economics,Economics,"Open-Economy Macroeconomics, Growth and Structural Change, Political Economy of Growth and Development, Comparative Growth Experience, Employment and Labour Markets, Development Economics, International Trade and Financial Markets","[""Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55990,Dr Runa Sarkar,Associate Professor,Indian Institute of Management Calcutta,Economics,Economics,"Microeconomics, Economics of Corporate Environmental Strategy, Green Manufacturing, Managerial Economics, Managing in the Global Economy: An Indian Perspective, Economic Analysis for Managers","[""Associate Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102358,Dr Vipul Mathur,Assistant Professor,Indian Institute of Management Calcutta,Economics,"Business, Finance","My research interests are at the intersection of monetary policy, financial markets, and the real sector","[""Assistant Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102380,Prof Sourav Bhattacharya,Professor,Indian Institute of Management Calcutta,Economics,Management,Management,"[""Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/661222,Prof Samarth Gupta,,IIM Calcutta,Economics,Management,"Industrial Organization, Financial Inclusion","[""Assistant Professor (Grade-I) | Economics | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/387868,Dr Somdeep Chatterjee,Associate Professor,"Indian Institute of Management, Calcutta",Economics,Economics,Economics,"[""Associate Professor | Economics | Indian Institute of Management, Calcutta"", ""Assistant Professor | Economics | Indian Institute of Management, Calcutta"", ""Assistant Professor | Indian Institute of Management, Lucknow""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55989,Dr Parthapratim Pal,Professor,Indian Institute of Management Calcutta,Economics,Economics,"International Trade and Capital Flows, WTO issues, Development Economics including Agricultural Economics","[""Professor | Economics | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102365,Dr Vivek Rajvanshi,Professor,"Indian Institute of Management, Calcutta",Finance and Control,Business,"Commodity Futures Markets, Volatility Modeling, Portfolio Management, Fixed Income Markets and Market Micro-structure","[""Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Associate Professor | Finance and Control | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102363,Dr Samit Paul,Associate Professor,"Indian Institute of Management, Calcutta",Finance and Control,Business,"Volatility and VaR modeling, Portfolio management, Risk management","[""Associate Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Assistant Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Assistant Professor | Accounting and Finance | Indian Institute of Management, Ranchi""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55999,Dr Manju Jaiswall,Associate Professor,Indian Institute of Management Calcutta,Finance and Control,"Business, Finance","Corporate Financial Reporting and Cost Management, Empirical Accounting Research, Financial Accounting and Cost and Management Accounting; Earnings Management, Financial Statement Analysis","[""Associate Professor | Finance and Control | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/55994,Dr Arpita Ghosh,Professor,"Indian Institute of Management, Calcutta",Finance and Control,"Business, Finance","Financial Accounting, Cost Management, Professional Ethics, Corporate Reporting, Corporate Governance, Earnings Management, Banking, CSR and Corporate Sustainability, Enterprise Risk Management, ESG","[""Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Associate Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Assistant Professor | Finance and Control | Indian Institute of Management, Calcutta"", ""Faculty | IIM Ahmedabad""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102362,Dr Sudhir S. Jaiswall,Assistant Professor,Indian Institute of Management Calcutta,Finance and Control,"Business, Finance","Empirical Accounting Research using archival methods in CEO Compensation and Corporate Governance, Management Accounting, Auditing, Financial Reporting, and Tax Research","[""Assistant Professor | Finance and Control | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102361,Dr Arnab Bhattacharya,Assistant Professor,Indian Institute of Management Calcutta,Finance and Control,"Business, Finance","Corporate Finance, Market Microstructure, Empirical Accounting Issues","[""Assistant Professor | Finance and Control | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/277861,Dr Avijit  Bansal,Assistant Professor,"Indian Institute of Management, Calcutta",Finance and Control,"Business, Finance","Behavioral Finance, Corporate Finance","[""Assistant Professor | Finance and Control | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/387876,Dr Sudarshan Kumar,Assistant Professor (Grade-I),"Indian Institute of Management, Calcutta",Finance and Control,"Business, Finance",Finance and Control,"[""Assistant Professor (Grade-I) | Finance and Control | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102364,Dr Sudhakara Reddy Syamala,Assistant Professor,Indian Institute of Management Calcutta,Finance and Control,"Business, Finance","Market Microstructure especially Liquidity and Algorithmic Trading, Pricing and Demand aspects of Initial Public Offerings, Mutual Funds and their performance issues, Corporate governance aspects of Board of Directors","[""Assistant Professor | Finance and Control | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/387887,Dr Saikat Chakraborty,Assistant Professor,"Indian Institute of Management, Calcutta",Human Resource Management,Business,"Work and Employment Relations, Research Methods in HR/ER, Organization Structure and Design","[""Assistant Professor | Human Resource Management | Indian Institute of Management, Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
https://iimcal.irins.org/profile/102367,Dr Randhir Kumar,Assistant Professor,Indian Institute of Management Calcutta,Human Resource Management,Industrial Relations and Labor,"Employment relations, Labour market, Global Production Networks, Digital economy, Service industry (IT-BPO sector), Community based business organisations","[""Assistant Professor | Human Resource Management | Indian Institute of Management Calcutta""]",Indian Institute of Management Calcutta,,,,,,,,,,
