url,name,designation,college,department,research_area,research_area_details,experience,institution_name,,,,,,,,,,
https://nitt.irins.org/profile/151742,Mr Saurabh Kumar,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Sustainable Architecture, Transport Planning","[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/148148,Ms Bhagyasri K,,NIT Tiruchirappalli,Department of Architecture,Architecture,Architecture,"[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92973,Mr S Rajendra Babu,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,Landscape Architecture,"[""Associate Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92977,Mr K Premkumar,,NIT Tiruchirappalli,Department of Architecture,Architecture,Architectural Psychology and Architectural Criticism,"[""Associate Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/340046,Prof KEERTI MANISHA,Assistant Professor (Grade-II),"National Institute of Technology, Tiruchirappalli",Department of Architecture,Environmental Engineering,"Architect, Environmental Planner","[""Assistant Professor (Grade-II) | Department of Architecture | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | School of Architecture | Christ University"", ""Project Associate | Department of Environmental Planning | School of Planning and Architecture, Bhopal""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/150598,Ms Pudhuma Bharathi K,,NIT Tiruchirappalli,Department of Architecture,Architecture,Landscape,"[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | Anna University""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/152251,Prof Gangasalam Arthanareeswaran,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,Current research involves improving the performance of polymer membranes by mixing with inorganic micro particles and fillers by a mixed matrix method for ultrafiltration (UF) applications. The prime novelty of this work is in the selection of organic and inorganic membrane materials for membrane fabrication as well as in achieving high permeability and anti-fouling properties with moderate rejection of molecules.,"[""Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Associate Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Lecturer | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Lecturer | Department of Chemical Engineering | Anna University chennai"", ""Teaching Associate | Department of Chemical Engineering | Anna University""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/160707,Dr Kartikeya Shukla,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Catalysis and Reaction Engineering, Polyester synthesis, Green Chemistry","[""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Post-Doctoral Fellow | National Tsing Hua University, Hsinchu, Taiwan""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54040,Prof P Sivashanmugam,Professor (HAG),"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Process Engineering, Process Modelling and Control, Biochemical and Environmental Engineering.","[""Professor (HAG) | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92991,Dr Nagajyothi  Virivinti,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Optimization, Fuzzy optiimmiizzaattiioonn, Process control","[""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54170,Dr T Sivasankar,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Sonochemical Processes, Advanced Oxidation Technologies, Environmental Pollution Control, Nanoparticle Synthesis, Biofuel Synthesis.","[""Associate Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54150,Dr S Saravanan,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Transfer Operations, Biochemical Engineering, Computational Fluid Dynamics, Energy and Environmental Engineering.","[""Associate Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92989,Dr N Samssudeen,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Microbial Fuel Cell, Bioenergy, Biohydrogen,  Wastewater Treatment","[""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54051,Prof Mahizhnan Arivazhagan,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Applied Chemistry,"Environmental Engineering, Multiphase Flow Heat Transfer in Nano Fluids.","[""Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54061,Prof K M Meera Sheriffa Begum,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Functional materials, Separation techniques, Mass transfer, water treatment, drug delivery, diesel and fuel production, and waste valorization","[""Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54164,Dr K N Sheeba,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Energy Engineering, Chemical Engineering Thermodynamics, Environmental Engineering, Fuels and Combustion Technology.","[""Associate Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/150256,Dr K Sankar,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Nonlinear Process Control, Fuel Cell Systems, Process Modeling and Simulation, Non-Conventional Energy Systems","[""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54147,Dr M Perumalsamy,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Computational Fluid Dynamics, Biomolecules Separation Process, Hydrodynamics of Multi Phase Reactors.","[""Associate Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54034,Prof T K Radhakrishnan,Professor (HAG),"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Model Based Control, Control Relevant Identification, Process Dynamics and Simulation, Process Intensification, Modeling of Microbial Fuel Cells","[""Professor (HAG) | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
